29, success:True adjE: 1, zeroScore:0.05208670526995253, average score:0.05219771018998612 oV:7.128999173481025 average grad:0.15636593861379652, step1:0.031045299723540375 step2:0.031045299723540375 actualStep:0.031045299723540375 newV:7.160044473204565
32, success:True adjE: 2, zeroScore:0.05234029575776452, average score:0.05234037153815633 oV:1.5416071965288882 average grad:-0.004179300399699355, step1:-0.0008355036717440572 step2:-0.0008355036717440572 actualStep:-0.0008355036717440572 newV:1.5407716928571442
33, success:True adjE: 2, zeroScore:0.05234047852107302, average score:0.052343017881261056 oV:6.328111503859615 average grad:0.02425884326941404, step1:0.004836558497204717 step2:0.004836558497204717 actualStep:0.004836558497204717 newV:6.33294806235682
36, success:True adjE: 2, zeroScore:0.05234662001615644, average score:0.05243830255679518 oV:-5.054613975938864 average grad:-0.14926427202982892, step1:-0.029072131538201467 step2:-0.029072131538201467 actualStep:-0.029072131538201467 newV:-5.083686107477066
39, success:True adjE: 2, zeroScore:0.05257436393486641, average score:0.05257659879551541 oV:-1.2854811485698523 average grad:0.024367098448785447, step1:0.004527210566090991 step2:0.004527210566090991 actualStep:0.004527210566090991 newV:-1.2809539380037613
41, success:True adjE: 2, zeroScore:0.05258016406835114, average score:0.05258220392670562 oV:4.570590262724623 average grad:0.024369696197339304, step1:0.0043249502681093534 step2:0.0043249502681093534 actualStep:0.0043249502681093534 newV:4.574915212992732
42, success:True adjE: 1, zeroScore:0.05258570626710123, average score:0.05272108117427186 oV:-4.251021666086512 average grad:-0.2042001883790183, step1:-0.03525350305604661 step2:-0.03525350305604661 actualStep:-0.03525350305604661 newV:-4.2862751691425585
45, success:True adjE: 2, zeroScore:0.05296601748823721, average score:0.05308072189262574 oV:2.214481102672938 average grad:0.22518478653179266, step1:0.03504204934946321 step2:0.03504204934946321 actualStep:0.03504204934946321 newV:2.2495231520224013
46, success:True adjE: 1, zeroScore:0.053386038902085924, average score:0.05341508239471948 oV:4.567624654847293 average grad:-0.10860762530981051, step1:-0.016197854455132395 step2:-0.016197854455132395 actualStep:-0.016197854455132395 newV:4.551426800392161
47, success:True adjE: 2, zeroScore:0.0534800704481784, average score:0.0534801104665461 oV:1.5407716928571442 average grad:-0.004221171673259288, step1:-0.0006006502326159048 step2:-0.0006006502326159048 actualStep:-0.0006006502326159048 newV:1.5401710426245283
