66, success:True adjE: 2, zeroScore:-8.081514232005184e-11, average score:-8.081514233192249e-11 oV:-391.81173972421544 average grad:-1.6714116012160661e-15, step1:-1.1031316568026036e-16 step2:-1.1031316568026036e-16 actualStep:-1.1031316568026036e-16 newV:-391.81173972421544
67, success:True adjE: 1, zeroScore:-8.081514232005184e-11, average score:-8.08151428101384e-11 oV:92.11419758017178 average grad:1.073946447624779e-14, step1:7.19544119908602e-16 step2:7.19544119908602e-16 actualStep:7.19544119908602e-16 newV:92.11419758017178
69, success:True adjE: 2, zeroScore:-8.081514232005184e-11, average score:-8.081514232005432e-11 oV:-185.42088275298306 average grad:-2.4219786570776134e-17, step1:-1.671165273383553e-18 step2:-1.671165273383553e-18 actualStep:-1.671165273383553e-18 newV:-185.42088275298306
71, success:True adjE: 1, zeroScore:-8.081514232005184e-11, average score:-8.081514390716379e-11 oV:-76.98974287169221 average grad:1.932635728406262e-14, step1:1.372171367168446e-15 step2:1.372171367168446e-15 actualStep:1.372171367168446e-15 newV:-76.98974287169221
73, success:True adjE: 2, zeroScore:-8.081514232005184e-11, average score:-8.08151423200599e-11 oV:628.9595803696975 average grad:-4.3585070113402074e-17, step1:-3.1817101182783512e-18 step2:-3.1817101182783512e-18 actualStep:-3.1817101182783512e-18 newV:628.9595803696975
74, success:True adjE: 2, zeroScore:-8.081514232005184e-11, average score:-8.081514549797784e-11 oV:-596.9137739854963 average grad:-3.025356497460946e-14, step1:-2.2387638081210996e-15 step2:-2.2387638081210996e-15 actualStep:-2.2387638081210996e-15 newV:-596.9137739854963
75, success:True adjE: 2, zeroScore:-8.081514232005184e-11, average score:-8.081514479132028e-11 oV:186.73731114983593 average grad:-2.4593653527488392e-14, step1:-1.8445240145616295e-15 step2:-1.8445240145616295e-15 actualStep:-1.8445240145616295e-15 newV:186.73731114983593
76, success:True adjE: 2, zeroScore:-8.081514232005184e-11, average score:-8.081514233192249e-11 oV:-391.81173972421544 average grad:-1.6714116012160661e-15, step1:-1.2702728169242104e-16 step2:-1.2702728169242104e-16 actualStep:-1.2702728169242104e-16 newV:-391.81173972421544
77, success:True adjE: 2, zeroScore:-8.081514232005184e-11, average score:-8.081514949309964e-11 oV:274.8300800148306 average grad:-4.648505126195645e-14, step1:-3.5793489471706465e-15 step2:-3.5793489471706465e-15 actualStep:-3.5793489471706465e-15 newV:274.8300800148306
78, success:True adjE: 2, zeroScore:-8.081514232005184e-11, average score:-8.08151424201016e-11 oV:520.8258476917515 average grad:-5.566622846465734e-15, step1:-4.3419658202432734e-16 step2:-4.3419658202432734e-16 actualStep:-4.3419658202432734e-16 newV:520.8258476917515
